"","Estimate","upperCI","lowerCI"
"CD40LG (H)",0.104106570839587,-0.00611188705243026,0.214325028731605
"RPS6KL1 (A)",0.0553841113864353,-0.0110107565993768,0.121778979372248
"LOC727982 (A)",0.0513830248299117,-0.0161669311095015,0.118932980769325
"CAND1 (A)",0.0335618034170468,-0.037655526361262,0.104779133195356
"GNAS (A)",0.0125595133438766,-0.0625090086681795,0.0876280353559327
"ATP2B4 (A)",0.00626918499125339,-0.060573454209608,0.0731118241921148
"G6PD (A)",0.00597318552985477,-0.0544714016853938,0.0664177727451034
"LPHN2 (A)",0.00306298607993419,-0.114041397756818,0.120167369916687
"IL10 (A)",-0.00706594443890381,-0.0794655242148246,0.0653336353370169
"ARL14 (A)",-0.0157411114896464,-0.117692505834883,0.0862102828555902
"HBA1-2 (R)",-0.200453807060699,-0.331481274334504,-0.0694263397868937
"FREM3 (A)",-0.225669805234811,-0.362741760684014,-0.0885978497856078
"ABO (R)",-0.245981653792249,-0.329408948559185,-0.162554359025312
"HBB (A)",-0.758781681856521,-0.95515153765681,-0.562411826056232
