"","Estimate","upperCI","lowerCI"
"CD40LG (H)",0.0425494257582785,-0.0678359085745378,0.152934760091095
"RPS6KL1 (A)",-0.00128506802196677,-0.0680565559638777,0.0654864199199442
"LOC727982 (A)",-0.00355917326117778,-0.0709225833575993,0.0638042368352437
"CAND1 (A)",0.0737391612177112,0.00276596231802992,0.144712360117392
"GNAS (A)",0.0536909685871379,-0.0214331204984944,0.12881505767277
"ATP2B4 (A)",-0.0682897936004854,-0.134955363346511,-0.00162422385445972
"G6PD (A)",-0.030547782848989,-0.0910158715269463,0.0299203058289684
"LPHN2 (A)",0.00408795822799036,-0.112787150571766,0.120963067027747
"IL10 (A)",0.0323011707076499,-0.0401682924817317,0.104770633897032
"ARL14 (A)",-0.0696167768661638,-0.171113565734493,0.0318800120021651
"HBA1-2 (R)",-0.028171844057567,-0.158466990512797,0.102123302397663
"FREM3 (A)",-0.087473916525536,-0.224272188797777,0.0493243557467045
"ABO (R)",-0.107859816139856,-0.191645566365108,-0.0240740659146037
"HBB (A)",-0.506753191218174,-0.705491122296231,-0.308015260140116
