"","Estimate","upperCI","lowerCI"
"CD40LG (H)",0.0319302109482691,-0.0784582427673838,0.142318664663922
"RPS6KL1 (A)",0.0415251182529374,-0.0252143347799118,0.108264571285787
"LOC727982 (A)",0.0409558957269893,-0.0264096175164718,0.10832140897045
"CAND1 (A)",-0.0512831777702379,-0.122312022030364,0.0197456664898885
"GNAS (A)",-0.0459606696060391,-0.121119479397432,0.0291981401853536
"ATP2B4 (A)",0.0746060915657081,0.00794934238594622,0.14126284074547
"G6PD (A)",0.035674834602401,-0.0248164348049339,0.096166104009736
"LPHN2 (A)",-0.00196880805304651,-0.118679088330097,0.114741472224004
"IL10 (A)",-0.0382668832425177,-0.110746796892544,0.0342130304075082
"ARL14 (A)",0.0599879791226965,-0.0412752965611575,0.16125125480655
"HBA1-2 (R)",-0.116624746784774,-0.247277422817905,0.0140279292483562
"FREM3 (A)",-0.0740988540625961,-0.211193034444414,0.0629953263192215
"ABO (R)",-0.0679248065168624,-0.151973136944657,0.0161235239109318
"HBB (A)",-0.031003850943764,-0.230754558962465,0.168746857074937
